#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         334      2.800000e-01      1.097006e-01      1.805719e-02
         335      2.800000e-01      1.102090e-01      1.801044e-02
         336      3.200000e-01      1.108333e-01      1.796766e-02
         337      1.200000e-01      1.108605e-01      1.791436e-02
         338      4.000000e-02      1.106509e-01      1.786259e-02
         339     -1.200000e-01      1.099705e-01      1.782285e-02
         340     -2.000000e-01      1.090588e-01      1.779373e-02
         341     -3.600000e-01      1.076833e-01      1.779464e-02
         342     -3.600000e-01      1.063158e-01      1.779507e-02
         343     -1.600000e-01      1.055394e-01      1.776012e-02
         344     -8.000000e-02      1.050000e-01      1.771668e-02
         345     -1.600000e-01      1.042319e-01      1.768197e-02
         346      8.000000e-02      1.041618e-01      1.763101e-02
         347     -4.000000e-02      1.037464e-01      1.758509e-02
         348     -8.000000e-02      1.032184e-01      1.754248e-02
         349     -1.200000e-01      1.025788e-01      1.750388e-02
         350     -1.200000e-01      1.019429e-01      1.746541e-02
         351      1.200000e-01      1.019943e-01      1.741573e-02
         352      2.800000e-01      1.025000e-01      1.737359e-02
         353      2.800000e-01      1.030028e-01      1.733165e-02
         354      1.600000e-01      1.031638e-01      1.728344e-02
         355      2.800000e-01      1.036620e-01      1.724193e-02
         356      3.200000e-01      1.042697e-01      1.720420e-02
         357      3.600000e-01      1.049860e-01      1.717092e-02
         358      4.800000e-01      1.060335e-01      1.715488e-02
         359      3.200000e-01      1.066295e-01      1.711744e-02
         360      3.200000e-01      1.072222e-01      1.708015e-02
         361      4.000000e-01      1.080332e-01      1.705208e-02
         362      4.000000e-01      1.088398e-01      1.702404e-02
         363      3.200000e-01      1.094215e-01      1.698708e-02
         364      2.800000e-01      1.098901e-01      1.694687e-02
         365      2.800000e-01      1.103562e-01      1.690685e-02
         366      8.000000e-02      1.102732e-01      1.686086e-02
         367      1.200000e-01      1.102997e-01      1.681494e-02
         368      1.600000e-01      1.104348e-01      1.676979e-02
         369      1.200000e-01      1.104607e-01      1.672436e-02
         370      8.000000e-02      1.103784e-01      1.667937e-02
         371      4.000000e-02      1.101887e-01      1.663549e-02
         372      4.000000e-02      1.100000e-01      1.659184e-02
         373      1.200000e-01      1.100268e-01      1.654738e-02
         374      8.000000e-02      1.099465e-01      1.650333e-02
         375     -8.000000e-02      1.094400e-01      1.646709e-02
         376     -1.200000e-01      1.088298e-01      1.643460e-02
         377     -8.000000e-02      1.083289e-01      1.639863e-02
         378      0.000000e+00      1.080423e-01      1.635776e-02
         379     -8.000000e-02      1.075462e-01      1.632212e-02
         380     -1.600000e-01      1.068421e-01      1.629434e-02
         381     -2.400000e-01      1.059318e-01      1.627699e-02
         382     -2.400000e-01      1.050262e-01      1.625955e-02
         383     -1.600000e-01      1.043342e-01      1.623181e-02
         384     -3.200000e-01      1.032292e-01      1.622711e-02
         385     -2.400000e-01      1.023377e-01      1.620944e-02
         386     -2.400000e-01      1.014508e-01      1.619169e-02
         387     -3.600000e-01      1.002584e-01      1.619369e-02
         388     -2.000000e-01      9.948454e-02      1.617044e-02
         389     -1.200000e-01      9.892031e-02      1.613871e-02
         390     -4.000000e-02      9.856410e-02      1.610126e-02
         391      0.000000e+00      9.831202e-02      1.606205e-02
         392      4.000000e-02      9.816327e-02      1.602176e-02
         393      1.200000e-01      9.821883e-02      1.598109e-02
         394      2.000000e-01      9.847716e-02      1.594262e-02
         395      4.000000e-01      9.924051e-02      1.592052e-02
         396      3.200000e-01      9.979798e-02      1.589008e-02
         397      3.600000e-01      1.004534e-01      1.586356e-02
         398      5.200000e-01      1.015075e-01      1.585869e-02
         399      4.000000e-01      1.022556e-01      1.583658e-02
         400      3.200000e-01      1.028000e-01      1.580634e-02
         401      2.800000e-01      1.032419e-01      1.577310e-02
         402      4.800000e-01      1.041791e-01      1.576168e-02
         403      6.000000e-01      1.054094e-01      1.577052e-02
         404      6.800000e-01      1.068317e-01      1.579548e-02
         405      7.200000e-01      1.083457e-01      1.582887e-02
         406      6.000000e-01      1.095567e-01      1.583614e-02
         407      6.400000e-01      1.108600e-01      1.585077e-02
         408      6.400000e-01      1.121569e-01      1.586489e-02
         409      5.600000e-01      1.132518e-01      1.586384e-02
         410      4.400000e-01      1.140488e-01      1.584515e-02
         411      3.600000e-01      1.146472e-01      1.581790e-02
         412      4.800000e-01      1.155340e-01      1.580434e-02
