#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         404      4.000000e-02      6.039604e-03      9.661352e-03
         405     -8.000000e-02      5.827160e-03      9.639832e-03
         406      1.600000e-01      6.206897e-03      9.623566e-03
         407      4.000000e-02      6.289926e-03      9.600279e-03
         408     -1.200000e-01      5.980392e-03      9.581737e-03
         409      4.000000e-02      6.063570e-03      9.558671e-03
         410      1.200000e-01      6.341463e-03      9.539396e-03
         411      3.600000e-01      7.201946e-03      9.554916e-03
         412      3.600000e-01      8.058252e-03      9.570018e-03
         413      8.000000e-02      8.232446e-03      9.548432e-03
         414     -1.200000e-01      7.922705e-03      9.530390e-03
         415      1.200000e-01      8.192771e-03      9.511251e-03
         416      0.000000e+00      8.173077e-03      9.488408e-03
         417      8.000000e-02      8.345324e-03      9.467217e-03
         418      4.000000e-02      8.421053e-03      9.444871e-03
         419     -4.000000e-02      8.305489e-03      9.423037e-03
         420      2.000000e-01      8.761905e-03      9.411648e-03
         421      2.400000e-01      9.311164e-03      9.405306e-03
         422      2.800000e-01      9.952607e-03      9.404866e-03
         423     -1.200000e-01      9.645390e-03      9.387649e-03
         424      0.000000e+00      9.622642e-03      9.365536e-03
         425      1.600000e-01      9.976471e-03      9.350181e-03
         426      4.000000e-02      1.004695e-02      9.328498e-03
         427      4.000000e-02      1.011710e-02      9.306915e-03
         428      8.000000e-02      1.028037e-02      9.286602e-03
         429     -2.000000e-01      9.790210e-03      9.277882e-03
         430      0.000000e+00      9.767442e-03      9.256333e-03
         431      4.000000e-02      9.837587e-03      9.235122e-03
         432      3.600000e-01      1.064815e-02      9.249248e-03
         433      0.000000e+00      1.062356e-02      9.227919e-03
         434      8.000000e-02      1.078341e-02      9.208041e-03
         435      2.000000e-01      1.121839e-02      9.197142e-03
         436     -8.000000e-02      1.100917e-02      9.178427e-03
         437     -8.000000e-02      1.080092e-02      9.159786e-03
         438      4.000000e-02      1.086758e-02      9.139116e-03
         439      0.000000e+00      1.084282e-02      9.118331e-03
         440      8.000000e-02      1.100000e-02      9.098962e-03
         441      4.000000e-01      1.188209e-02      9.120986e-03
         442      1.200000e-01      1.212670e-02      9.103630e-03
         443      4.000000e-02      1.218962e-02      9.083297e-03
         444      2.000000e-01      1.261261e-02      9.072683e-03
         445     -2.400000e-01      1.204494e-02      9.070037e-03
         446      0.000000e+00      1.201794e-02      9.049741e-03
         447      1.200000e-01      1.225951e-02      9.032719e-03
         448      3.200000e-01      1.294643e-02      9.038638e-03
         449      0.000000e+00      1.291759e-02      9.018554e-03
         450      8.000000e-02      1.306667e-02      8.999744e-03
         451      2.000000e-01      1.348115e-02      8.989329e-03
         452      4.000000e-01      1.433628e-02      9.010022e-03
         453      2.000000e-01      1.474614e-02      8.999450e-03
         454      4.000000e-02      1.480176e-02      8.979799e-03
         455      4.000000e-02      1.485714e-02      8.960234e-03
         456     -2.000000e-01      1.438596e-02      8.952964e-03
