#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         459      7.476359e-01      7.591115e-01      9.719790e-03
         460      7.472578e-01      7.590858e-01      9.698695e-03
         461      7.469295e-01      7.590594e-01      9.677692e-03
         462      7.466521e-01      7.590325e-01      9.656782e-03
         463      7.459279e-01      7.590042e-01      9.635966e-03
         464      7.452159e-01      7.589745e-01      9.615245e-03
         465      7.445498e-01      7.589435e-01      9.594617e-03
         466      7.439339e-01      7.589113e-01      9.574082e-03
         467      7.433667e-01      7.588780e-01      9.553639e-03
         468      7.428498e-01      7.588438e-01      9.533286e-03
         469      7.423837e-01      7.588087e-01      9.513024e-03
         470      7.419695e-01      7.587728e-01      9.492851e-03
         471      7.416080e-01      7.587364e-01      9.472766e-03
         472      7.413016e-01      7.586995e-01      9.452769e-03
         473      7.410494e-01      7.586621e-01      9.432858e-03
         474      7.408524e-01      7.586246e-01      9.413032e-03
         475      7.407128e-01      7.585869e-01      9.393291e-03
         476      7.406300e-01      7.585491e-01      9.373633e-03
         477      7.406054e-01      7.585115e-01      9.354057e-03
         478      7.406409e-01      7.584741e-01      9.334562e-03
         479      7.407358e-01      7.584371e-01      9.315148e-03
         480      7.408899e-01      7.584005e-01      9.295813e-03
         481      7.409632e-01      7.583643e-01      9.276558e-03
         482      7.409680e-01      7.583282e-01      9.257382e-03
         483      7.410423e-01      7.582924e-01      9.238285e-03
         484      7.411890e-01      7.582571e-01      9.219265e-03
         485      7.413405e-01      7.582222e-01      9.200322e-03
         486      7.414276e-01      7.581876e-01      9.181457e-03
         487      7.415798e-01      7.581535e-01      9.162667e-03
         488      7.417980e-01      7.581200e-01      9.143952e-03
         489      7.418886e-01      7.580868e-01      9.125313e-03
         490      7.418669e-01      7.580537e-01      9.106750e-03
         491      7.418607e-01      7.580207e-01      9.088263e-03
         492      7.419177e-01      7.579880e-01      9.069849e-03
         493      7.420384e-01      7.579557e-01      9.051510e-03
         494      7.422237e-01      7.579238e-01      9.033243e-03
         495      7.424732e-01      7.578926e-01      9.015048e-03
         496      7.427878e-01      7.578621e-01      8.996924e-03
         497      7.431664e-01      7.578326e-01      8.978870e-03
         498      7.436116e-01      7.578040e-01      8.960886e-03
         499      7.441224e-01      7.577766e-01      8.942970e-03
         500      7.446993e-01      7.577505e-01      8.925122e-03
         501      7.453411e-01      7.577257e-01      8.907342e-03
         502      7.453314e-01      7.577010e-01      8.889632e-03
         503      7.452578e-01      7.576763e-01      8.871994e-03
         504      7.452315e-01      7.576516e-01      8.854425e-03
         505      7.452525e-01      7.576270e-01      8.836925e-03
         506      7.453208e-01      7.576027e-01      8.819494e-03
         507      7.454357e-01      7.575787e-01      8.802132e-03
         508      7.455991e-01      7.575551e-01      8.784836e-03
         509      7.458120e-01      7.575320e-01      8.767607e-03
         510      7.460725e-01      7.575096e-01      8.750445e-03
         511      7.463831e-01      7.574878e-01      8.733348e-03
         512      7.467411e-01      7.574668e-01      8.716316e-03
