#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         710     1.04992     1.25025   0.0108276
         711     1.05012     1.24997    0.010816
         712     1.05037     1.24969   0.0108045
         713     1.05067     1.24941   0.0107929
         714     1.05102     1.24913   0.0107814
         715     1.05141     1.24885   0.0107698
         716     1.05186     1.24858   0.0107583
         717     1.05236      1.2483   0.0107468
         718      1.0529     1.24803   0.0107353
         719     1.05348     1.24776   0.0107237
         720     1.05412     1.24749   0.0107122
         721     1.05479     1.24722   0.0107007
         722     1.05551     1.24696   0.0106892
         723     1.05626     1.24669   0.0106776
         724     1.05706     1.24643   0.0106661
         725      1.0579     1.24617   0.0106546
         726     1.05877     1.24591    0.010643
         727     1.05968     1.24566   0.0106315
         728     1.06062      1.2454   0.0106199
         729     1.06159     1.24515   0.0106083
         730      1.0626      1.2449   0.0105967
         731     1.06363     1.24465   0.0105851
